created_at,sentiment,fear,anger,anticipation,trust,surprise,positive,negative,sadness,disgust,joy,emotional_words
2021-01-20 02:13:37,0.2023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-20 02:13:24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tomorrow
2021-01-20 02:09:21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-20 00:54:32,-0.5267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-18 14:27:30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-13 01:15:58,-0.1695,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,surprised
2021-01-13 01:14:57,-0.34,0.125,0.125,0.0,0.0,0.0,0.125,0.25,0.125,0.125,0.0,"resign,immediately"
2021-01-13 01:14:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-11 00:37:37,-0.0772,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,"impeach,president,inauguration"
2021-01-07 00:35:16,0.4019,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,holiday
2021-01-07 00:26:24,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,president
2021-01-07 00:23:02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2021-01-06 23:52:39,-0.7579,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.0,"denounce,violence"
2021-01-06 22:36:49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,hypocrisy
2021-01-03 05:24:10,0.2263,0.1,0.2,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.1,"veto,defense,denying,accomplish"
2021-01-03 05:22:18,-0.6124,0.0,0.1,0.0,0.1,0.1,0.2,0.1,0.2,0.0,0.1,"lone,population,vote"
2021-01-03 05:19:43,0.0516,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.125,"white,provide,assistance,supported"
2021-01-03 05:11:37,-0.2714,0.1,0.0,0.0,0.1,0.2,0.3,0.1,0.1,0.0,0.1,"giving,embarrassment,hilarious,general"
2021-01-03 03:57:34,0.8779,0.0,0.0,0.0,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.0,0.09090909090909091,0.0,0.18181818181818182,"culture,wonderful,ultimate,white"
2021-01-03 03:34:14,0.4588,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,glad
2020-12-22 09:59:43,-0.5106,0.0,0.2,0.0,0.0,0.2,0.0,0.2,0.2,0.2,0.0,insult
2020-12-22 09:59:14,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,vaccine
2020-11-25 18:14:54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-11-21 00:46:37,-0.5719,0.0,0.1111111111111111,0.0,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,"negative,morals"
2020-11-16 20:42:17,-0.0018,0.25,0.25,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,"surprised,force"
2020-11-16 20:39:30,-0.0258,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,negative
2020-11-16 20:31:40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-11-16 20:30:47,-0.3493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-11-16 20:29:32,0.91,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,"mortgage,relief,small"
2020-11-16 20:29:03,-0.8625,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,resign
2020-11-16 20:28:27,-0.8074,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,"confirmed,fraud"
2020-11-14 21:22:46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2020-11-14 21:10:20,0.1027,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,0.0,0.0,"pretending,president"
2020-11-14 21:09:26,-0.4019,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,lose
2020-11-08 14:18:49,-0.3089,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.25,0.25,0.0,"follower,interested"
